timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,trdType
2024-11-06D00:12:56.155917941,ETHUSD,Buy,6,2431.63,ZeroPlusTick,00000000-006d-1000-0000-000d7e5db5e7,1458978,0.4172462,1014.588,Regular
2024-11-06D00:12:56.157012583,ETHUSD,Buy,6,2431.63,ZeroPlusTick,00000000-006d-1000-0000-000d7e5db600,1458978,0.4172462,1014.588,Regular
2024-11-06D00:12:56.157167321,ETHUSD,Buy,7,2431.63,ZeroPlusTick,00000000-006d-1000-0000-000d7e5db606,1702141,0.4867872,1183.686,Regular
2024-11-06D00:12:56.178233826,ETHUSD,Buy,1,2432.14,PlusTick,00000000-006d-1000-0000-000d7e5db780,243214,0.06954103,169.1335,Regular
2024-11-06D00:12:56.462315124,ETHUSD,Buy,1,2432.92,PlusTick,00000000-006d-1000-0000-000d7e5dc39c,243292,0.06954103,169.1878,Regular
2024-11-06D00:12:56.462677028,ETHUSD,Buy,13,2432.99,PlusTick,00000000-006d-1000-0000-000d7e5dc3b0,3162887,0.9040334,2199.504,Regular
2024-11-06D00:12:56.462805268,ETHUSD,Buy,12,2432.99,ZeroPlusTick,00000000-006d-1000-0000-000d7e5dc3b6,2919588,0.8344924,2030.312,Regular
2024-11-06D00:12:56.466811498,ETHUSD,Buy,1,2432.99,ZeroPlusTick,00000000-006d-1000-0000-000d7e5dc3da,243299,0.06954103,169.1926,Regular
2024-11-06D00:12:56.472068481,ETHUSD,Buy,1,2433.14,PlusTick,00000000-006d-1000-0000-000d7e5dc442,243314,0.06954103,169.2031,Regular
2024-11-06D00:12:57.970018278,ETHUSD,Buy,3,2433.68,PlusTick,00000000-006d-1000-0000-000d7e5de887,730104,0.2086231,507.7218,Regular
2024-11-06D00:12:57.970200803,ETHUSD,Buy,11,2433.68,ZeroPlusTick,00000000-006d-1000-0000-000d7e5de88d,2677048,0.7649513,1861.647,Regular
2024-11-06D00:13:10.215579140,ETHUSD,Sell,14,2432.63,MinusTick,00000000-006d-1000-0000-000d7e5e872b,3405682,0.9749304,2371.645,Regular
2024-11-06D00:13:18.941209710,ETHUSD,Sell,14,2432.33,MinusTick,00000000-006d-1000-0000-000d7e5ee612,3405262,0.9749304,2371.352,Regular
2024-11-06D00:13:42.650289842,ETHUSD,Buy,14,2433.67,PlusTick,00000000-006d-1000-0000-000d7e5fe11b,3407138,0.9756098,2374.312,Regular
2024-11-06D00:13:43.265381489,ETHUSD,Sell,3,2433.21,MinusTick,00000000-006d-1000-0000-000d7e5ff025,729963,0.2090592,508.685,Regular
2024-11-06D00:13:45.875368682,ETHUSD,Buy,6,2433.63,PlusTick,00000000-006d-1000-0000-000d7e600e0a,1460178,0.4181185,1017.546,Regular
2024-11-06D00:13:45.876529367,ETHUSD,Buy,12,2433.63,ZeroPlusTick,00000000-006d-1000-0000-000d7e600e1d,2920356,0.8362369,2035.091,Regular
2024-11-06D00:13:45.876783187,ETHUSD,Buy,8,2433.63,ZeroPlusTick,00000000-006d-1000-0000-000d7e600e26,1946904,0.5574913,1356.728,Regular
2024-11-06D00:13:45.877869918,ETHUSD,Buy,7,2433.64,PlusTick,00000000-006d-1000-0000-000d7e600e52,1703548,0.4878049,1187.141,Regular
2024-11-06D00:13:45.878504593,ETHUSD,Buy,1,2433.64,ZeroPlusTick,00000000-006d-1000-0000-000d7e600e61,243364,0.06968641,169.5916,Regular
2024-11-06D00:13:45.878504593,ETHUSD,Buy,6,2433.73,PlusTick,00000000-006d-1000-0000-000d7e600e64,1460238,0.4181185,1017.587,Regular
2024-11-06D00:13:45.878862978,ETHUSD,Buy,8,2433.73,ZeroPlusTick,00000000-006d-1000-0000-000d7e600e70,1946984,0.5574913,1356.783,Regular
